date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:32:05	60364/60364	---M--	200	added ('OK')	font/ttf	date:Tue,%2029%20Aug%202023%2011:02:30%20GMT	https://demo.foodking.dev/themes/default/fonts/typography/public/PublicSans-Black.ttf	C:/Users/shara/Desktop/clone%2002/Food/demo.foodking.dev/themes/default/fonts/typography/public/PublicSans-Black.ttf	(from https://demo.foodking.dev/themes/default/fonts/typography/public/public.css)
09:32:06	123956/123956	---M--	200	added ('OK')	font/ttf	date:Tue,%2029%20Aug%202023%2011:02:30%20GMT	https://demo.foodking.dev/themes/default/fonts/typography/rubik/Rubik-Light.ttf	C:/Users/shara/Desktop/clone%2002/Food/demo.foodking.dev/themes/default/fonts/typography/rubik/Rubik-Light.ttf	(from https://demo.foodking.dev/themes/default/fonts/typography/rubik/rubik.css)
09:32:06	124572/124572	---M--	200	added ('OK')	font/ttf	date:Tue,%2029%20Aug%202023%2011:02:30%20GMT	https://demo.foodking.dev/themes/default/fonts/typography/rubik/Rubik-Regular.ttf	C:/Users/shara/Desktop/clone%2002/Food/demo.foodking.dev/themes/default/fonts/typography/rubik/Rubik-Regular.ttf	(from https://demo.foodking.dev/themes/default/fonts/typography/rubik/rubik.css)
09:32:08	125156/125156	---M--	200	added ('OK')	font/ttf	date:Tue,%2029%20Aug%202023%2011:02:30%20GMT	https://demo.foodking.dev/themes/default/fonts/typography/rubik/Rubik-SemiBold.ttf	C:/Users/shara/Desktop/clone%2002/Food/demo.foodking.dev/themes/default/fonts/typography/rubik/Rubik-SemiBold.ttf	(from https://demo.foodking.dev/themes/default/fonts/typography/rubik/rubik.css)
09:32:08	125172/125172	---M--	200	added ('OK')	font/ttf	date:Tue,%2029%20Aug%202023%2011:02:30%20GMT	https://demo.foodking.dev/themes/default/fonts/typography/rubik/Rubik-Medium.ttf	C:/Users/shara/Desktop/clone%2002/Food/demo.foodking.dev/themes/default/fonts/typography/rubik/Rubik-Medium.ttf	(from https://demo.foodking.dev/themes/default/fonts/typography/rubik/rubik.css)
09:32:09	125108/125108	---M--	200	added ('OK')	font/ttf	date:Tue,%2029%20Aug%202023%2011:02:30%20GMT	https://demo.foodking.dev/themes/default/fonts/typography/rubik/Rubik-Bold.ttf	C:/Users/shara/Desktop/clone%2002/Food/demo.foodking.dev/themes/default/fonts/typography/rubik/Rubik-Bold.ttf	(from https://demo.foodking.dev/themes/default/fonts/typography/rubik/rubik.css)
09:32:10	124668/124668	---M--	200	added ('OK')	font/ttf	date:Tue,%2029%20Aug%202023%2011:02:30%20GMT	https://demo.foodking.dev/themes/default/fonts/typography/rubik/Rubik-Black.ttf	C:/Users/shara/Desktop/clone%2002/Food/demo.foodking.dev/themes/default/fonts/typography/rubik/Rubik-Black.ttf	(from https://demo.foodking.dev/themes/default/fonts/typography/rubik/rubik.css)
09:32:10	8432/8432	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Aug%202023%2011:02:27%20GMT	https://demo.foodking.dev/images/bg/footer.png	C:/Users/shara/Desktop/clone%2002/Food/demo.foodking.dev/images/bg/footer.png	(from https://demo.foodking.dev/themes/default/css/style.css)
09:32:10	124952/124952	---M--	200	added ('OK')	font/ttf	date:Tue,%2029%20Aug%202023%2011:02:30%20GMT	https://demo.foodking.dev/themes/default/fonts/typography/rubik/Rubik-ExtraBold.ttf	C:/Users/shara/Desktop/clone%2002/Food/demo.foodking.dev/themes/default/fonts/typography/rubik/Rubik-ExtraBold.ttf	(from https://demo.foodking.dev/themes/default/fonts/typography/rubik/rubik.css)
09:32:11	64/64	---M-Z	404	error ('Not%20Found')	application/json	date:Thu,%2014%20Sep%202023%2007:32:11%20GMT	https://demo.foodking.dev/themes/default/images/bg/installer.jpg	C:/Users/shara/Desktop/clone%2002/Food/demo.foodking.dev/themes/default/images/bg/installer.jpg	(from https://demo.foodking.dev/themes/default/css/style.css)
